date,date_time,home_team,away_team,venue,home_score,away_score,margin,outcome,final,home_odds,away_odds
2010-05-10,2010-05-10 19:20:00,St Kilda,Carlton,Marvel Stadium,68,129,-61,0.0,False,1.43,2.77
2010-05-14,2010-05-14 18:40:00,Fremantle,Collingwood,Domain Stadium,97,133,-36,0.0,False,2.0,1.76
2010-05-15,2010-05-15 14:10:00,Melbourne,West Coast,MCG,46,75,-29,0.0,False,1.35,3.09
2010-05-15,2010-05-15 14:10:00,Western Bulldogs,Sydney,Manuka Oval,101,63,38,1.0,False,1.56,2.35
2010-05-15,2010-05-15 19:10:00,Brisbane,Geelong,Gabba,74,155,-81,0.0,False,3.38,1.31
2010-05-15,2010-05-15 19:10:00,North Melbourne,Adelaide,Marvel Stadium,84,75,9,1.0,False,1.61,2.24
2010-05-16,2010-05-16 13:10:00,Richmond,Hawthorn,MCG,86,89,-3,0.0,False,4.94,1.16
2010-05-16,2010-05-16 14:40:00,Port Adelaide,Carlton,AAMI Stadium,92,118,-26,0.0,False,1.82,1.92
2010-05-16,2010-05-16 16:40:00,St Kilda,Essendon,Marvel Stadium,81,93,-12,0.0,False,1.4,2.81
2010-05-21,2010-05-21 19:40:00,Collingwood,Geelong,MCG,50,86,-36,0.0,False,1.95,1.78
2010-05-22,2010-05-22 14:10:00,North Melbourne,Western Bulldogs,Marvel Stadium,57,127,-70,0.0,False,4.21,1.22
2010-05-22,2010-05-22 14:10:00,Sydney,Fremantle,SCG,63,100,-37,0.0,False,1.68,2.13
2010-05-22,2010-05-22 19:10:00,Melbourne,Port Adelaide,TIO Stadium,111,110,1,1.0,False,2.32,1.57
2010-05-22,2010-05-22 19:45:00,Essendon,Richmond,MCG,130,95,35,1.0,False,1.26,3.81
2010-05-23,2010-05-23 12:40:00,Adelaide,Brisbane,AAMI Stadium,93,81,12,1.0,False,2.1,1.69
2010-05-23,2010-05-23 14:10:00,Carlton,Hawthorn,Marvel Stadium,60,110,-50,0.0,False,1.35,3.1
2010-05-23,2010-05-23 14:40:00,West Coast,St Kilda,Domain Stadium,56,91,-35,0.0,False,1.99,1.75
2010-05-28,2010-05-28 19:40:00,Essendon,Western Bulldogs,Marvel Stadium,99,90,9,1.0,False,3.2,1.33
2010-05-29,2010-05-29 14:10:00,Geelong,Melbourne,GMHBA Stadium,121,67,54,1.0,False,1.04,10.25
2010-05-29,2010-05-29 14:40:00,Port Adelaide,Richmond,AAMI Stadium,30,77,-47,0.0,False,1.18,4.61
2010-05-29,2010-05-29 19:10:00,Brisbane,Collingwood,Gabba,88,80,8,1.0,False,3.54,1.28
2010-05-29,2010-05-29 19:10:00,St Kilda,Adelaide,Marvel Stadium,123,76,47,1.0,False,1.23,4.08
2010-05-30,2010-05-30 13:10:00,Hawthorn,Sydney,MCG,79,77,2,1.0,False,1.31,3.35
2010-05-30,2010-05-30 14:10:00,Carlton,West Coast,Marvel Stadium,105,76,29,1.0,False,1.19,4.48
2010-05-30,2010-05-30 14:40:00,Fremantle,North Melbourne,Domain Stadium,139,78,61,1.0,False,1.12,5.94
2010-06-04,2010-06-04 19:40:00,Richmond,St Kilda,Marvel Stadium,59,97,-38,0.0,False,5.69,1.12
2010-06-05,2010-06-05 14:10:00,Carlton,Melbourne,MCG,101,60,41,1.0,False,1.36,3.01
2010-06-05,2010-06-05 14:40:00,Adelaide,Fremantle,AAMI Stadium,105,82,23,1.0,False,2.8,1.41
2010-06-05,2010-06-05 17:40:00,West Coast,Geelong,Domain Stadium,98,122,-24,0.0,False,6.06,1.11
2010-06-05,2010-06-05 19:10:00,North Melbourne,Brisbane,Marvel Stadium,90,89,1,1.0,False,2.35,1.56
2010-06-06,2010-06-06 13:10:00,Sydney,Essendon,SCG,89,80,9,1.0,False,1.71,2.06
2010-06-06,2010-06-06 14:10:00,Hawthorn,Port Adelaide,MCG,74,63,11,1.0,False,1.41,2.78
2010-06-06,2010-06-06 16:40:00,Collingwood,Western Bulldogs,Marvel Stadium,113,103,10,1.0,False,1.67,2.11
2010-06-11,2010-06-11 19:40:00,North Melbourne,Carlton,Marvel Stadium,97,68,29,1.0,False,3.7,1.27
